Campo		 Descripción
customerID	 Identificador único del cliente.
gender		 Género del cliente (Male/Female).
SeniorCitizen	 Indica si el cliente es mayor de 65 años (0 = No, 1 = Sí).
Partner		 Indica si el cliente tiene pareja (Yes/No).
Dependents	 Indica si el cliente tiene dependientes (Yes/No).
tenure		 Número de meses que el cliente ha permanecido en la compañía.
PhoneService	 Indica si el cliente tiene servicio telefónico (Yes/No).
MultipleLines	 Indica si el cliente tiene múltiples líneas telefónicas (Yes/No/No phone service).
InternetService	 Tipo de servicio de internet (DSL, Fiber optic, No).
OnlineSecurity	 Indica si el cliente tiene seguridad en línea (Yes/No/No internet service).
OnlineBackup	 Indica si el cliente tiene backup en línea (Yes/No/No internet service).
DeviceProtection Indica si el cliente tiene protección de dispositivo (Yes/No/No internet service).
TechSupport	 Indica si el cliente tiene soporte técnico (Yes/No/No internet service).
StreamingTV	 Indica si el cliente tiene streaming de TV (Yes/No/No internet service).
StreamingMovies	 Indica si el cliente tiene streaming de películas (Yes/No/No internet service).
Contract	 Tipo de contrato (Month-to-month, One year, Two year).
PaperlessBilling Indica si el cliente tiene facturación sin papel (Yes/No).
PaymentMethod	 Método de pago (Electronic check, Mailed check, Bank transfer, Credit card).
MonthlyCharges	 Monto facturado mensualmente al cliente.
TotalCharges	 Monto total facturado al cliente durante su permanencia.
Churn		 Indica si el cliente abandonó el servicio (Yes/No).
